요리명,조회수,조리방법,재료,인분수,난이도,조리시간,체크할 재료
까르보떡볶이,2770,끓이기,양파 1/4개| 떡볶이떡 1웅큼| 소시지 7개| 마늘 1개| 버터 조금  불닭까르보나라 소스 3T| 크림파스타 소스 5T,1인분,아무나,15분이내,닭 마늘 양파 파스타 떡 
까르보불닭,11387,끓이기,까르보 불닭 라면 1봉지| 우유 150ml| 물 50ml| 설탕 1T| 슬라이스치즈 1장| 달걀 1개,1인분,초급,15분이내,치즈 닭 달걀 우유 라면 
까르보불닭무쌈말이,6981,기타,까르보 불닭 라면 1개| 소시지 바 1개| 쌈무 적당량  식빵 1장| 소시지 바 1개| 체다치즈 1장| 모짜렐라치즈 1봉| 케찹 적당량,1인분,아무나,10분이내,치즈 닭 무 라면 빵 
까르보불닭볶음면,5884,볶음,까르보불닭볶음면 2봉지| 우유 200ml,1인분,아무나,10분이내,닭 우유 
까르보불당면,15200,비빔,중국당면 10줄  까르보붉닭볶음면 소스1개,1인분,아무나,30분이내,닭 
까르보짬뽕,15495,끓이기,짬뽕 라면 1개| 양파 1/4개| 청양고추 1개| 마늘 2톨| 슬라이스치즈 1장| 우유 1종이컵| 달걀노른자 1개,1인분,아무나,10분이내,치즈 달걀 마늘 우유 양파 고추 라면 
까망베르치즈구이,234,굽기,까망베르치즈 60g| 꿀 2~3T| 아몬드 1줌| 캐슈넛 1줌| 피칸 1줌,1인분,아무나,10분이내,치즈 
까망베르치즈샌드위치,7934,기타,까망베르슬라이스치즈| 햄| 양파| 당근| 새송이버섯| 달걀 2개| 식빵 2장| 양상추  딸기잼,1인분,초급,30분이내,당근 치즈 달걀 새송이버섯 상추 양파 빵 
까순이,86191,끓이기,순대 1 인분| 후춧가루 조금| 양파 1/2 개| 마늘 4 쪽| 우유 1/2 컵| 시판까르보나라or스프 1봉지| 올리브유 조금,1인분,초급,30분이내,마늘 우유 양파 
까페라떼,758,기타,원두커피| 우유| 시나몬가루| 흑당시럽,1인분,아무나,15분이내,우유 
깍두기,128648,절임,무 큰것 1개| 굵은 소금 2큰술  새우젓 1ts| 고춧가루 5큰술| 매실엑기스 (생략 가능) 1큰술| 멸치액젓 1큰술| 다진 마늘 1큰술| 깨 적당히,1인분,아무나,60분이내,마늘 무 새우 
깍두기김치볶음밥,1242,볶음,깍두기 2/3공기| 찬밥 1공기  깍두기 국물 2수저| 설탕 2꼬집| 식용유 3수저| 마늘 1/2수저| 진간장 1/4수저| 참기름 1/4수저| 미니 조미김 3장| 깨소금 조금,1인분,초급,30분이내,마늘 
깍두기밥,373,끓이기,깍두기 50g| 설탕 1/2t| 깍두기국물 4T| 물 200ml| 쌀 1컵| 진간장 1T| 참기름 1T| 고추장 2/3T| 맛술 1T,1인분,아무나,30분이내,고추 
깍두기베이컨볶음밥,3228,볶음,마가린 1/2숟갈| 식용유 2번두르기| 대파 15cm| 다진 깍두기 4큰술| 베이컨 2줄| 햇반 1개| 고추가루 1/2큰술| 다진마늘 1/2큰술| 고추장 1/2큰술| 후추 약간| 깨 약간| 달걀 1개| 김 약간,1인분,초급,15분이내,베이컨 달걀 마늘 대파 고추 
깍두기볶음라면,6054,볶음,라면 1개| 버터 1/2큰술| 버터 1/4큰술| 깍두기 100g(2큰술),1인분,아무나,5분이내,라면 
깍두기볶음밥,131097,볶음,찬밥 1공기| 깍두기 1/2공기  깍두기 국물 1/4컵| 버터 1큰술| 고춧가루 1작은술| 고추장 1작은술| 설탕 1작은술| 후추 약간| 김가루 취향껏| 달걀후라이 취향껏,1인분,아무나,30분이내,달걀 고추 
깍두기비빔국수,2946,비빔,소면 500원짜리만큼| 채썬 김치 2큰술| 채썬 깍두기 1큰술| 물 5컵  초고추장 1큰술| 고추장 1큰술| 다진마늘 1티스푼| 설탕 1큰술| 다진 청양 고추 1개| 대파 흰부분 다진거 1큰술| 참기름 1티스푼| 들기름 1티스푼| 깨소금 1티스푼| 청양 고춧가루 1티스푼,1인분,아무나,15분이내,마늘 대파 김치 고추 
깍두기비빔밥,7718,비빔,흑미밥 1공기| 깍두기| 실파| 김가루 약간  깍두기국물(또는 고추장이나 장조림 간장소스) 3~4스푼| 참기름| 통깨 약간,1인분,아무나,5분이내,고추 
깍두기스팸볶음밥,1131,볶음,익은 깍두기 적당량| 깍두기 국물 1큰술| 스팸 적당량| 모짜렐라치즈 적당량  굴소스 조금| 카놀라유,1인분,아무나,15분이내,치즈 스팸 
깍두기열무김치볶음,12502,볶음,쉰깍두기| 열무김치  들기름 2스푼| 깨,1인분,아무나,30분이내,김치 무 
깍두기햄볶음밥,1808,볶음,김치(깍두기) 1인분량| 후랑크 소세지 2  후추 톡톡| 김치 국물(깍두기국물) 조금| 굴소스,1인분,아무나,10분이내,김치 
깍두기회덮밥,531,무침,회 80g| 밥 1인분| 소금 0.5t| 설탕 2t| 식초 3t| 깍두기 50g  고추장 1T| 고춧가루 0.5t| 설탕 5t| 진간장 2T| 맛술 2T| 참기름 1T| 통깨,1인분,아무나,30분이내,고추 
깐쇼새우,14523,튀김,새우| 파프리카| 양파| 대파| 다진마늘| 포도씨유| 달걀흰자| 녹말가루| 소금  다시마 물 약간| 간장| 식초| 아가베시럽| 케찹,1인분,중급,30분이내,달걀 마늘 대파 양파 파프리카 새우 
깐풍고등어,8243,튀김,자반고등어 1마리| 빨강색파프리카 1개| 청양고추 3개| 애호박 1/3개| 대파 1뿌리  청주 3T| 후추가루 약간| 바질 약간| 다진마늘 1/2T| 녹말가루 3T| 튀김가루 2T| 달걀노른자 2개| 간장 1T,1인분,아무나,30분이내,달걀 마늘 대파 파프리카 고추 애호박 
깐풍기,7142,볶음,남은 치킨 5조각| 청양고추 1개| 양파 1/4개| 고추기름 1큰술  간장 1+1/2큰술| 설탕 1큰술| 소주 2큰술,1인분,아무나,30분이내,양파 고추 
깐풍대구,1677,볶음,대구 포 300g| 양파 1/4개| 마늘 2개| 생강 1/3개| 튀김가루 6큰술| 전분가루 1큰술  고추기름 4T| 간장 2T| 식초 1T| 설탕 1T| 맛술 100ml,1인분,초급,30분이내,마늘 양파 고추 
깐풍떡볶이,876,조림,밀떡10개 | 양파20g| 대파20g| 당근15g  간장1큰술반| 케찹1큰술| 식초1큰술| 갈색설탕1큰술반| 물2큰술,1인분,아무나,15분이내,당근 대파 양파 떡 
깐풍만두,108240,볶음,만두 10개| 대파 1대| 쥐똥고추(or청양고추) 기호에맞게| 다진마늘 1T  간장 1T| 설탕 1T| 식초 2T| 물엿 1/2T| 후추 톡톡,1인분,아무나,15분이내,마늘 대파 고추 
깐풍새우,3130,튀김,냉동새우 1봉지| 튀김가루 1컵| 감자전분 1컵| 물 1컵| 기름 1.5L  베트남건고추 8개| 대파 1/2뿌리| 청피망 1/5개| 홍피망 1/5개  설탕 2Ts| 진간장 1Ts| 굴소스 1/2ts| 식초 1Ts| 라오깐마 고추기름 1Ts| 후추 조금| 물 50ml,1인분,중급,30분이내,대파 고추 감자 새우 
깐풍소시지,1302,볶음,비엔나소시지 20개  양파 1/2개| 청양고추 1/2개| 간장 1T| 굴소스 2T| 식초 3T| 설탕 1.5T| 소금 약간| 다진마늘 1t| 고춧가루 1T| 깨 약간,1인분,아무나,15분이내,마늘 양파 고추 
깐풍우동,11793,볶음,우동(면)사리 1개(봉)| 돼지고기 100g| 버섯 50g| 양파 1/2개| 마늘 3알  고추기름 2T(2큰술)| 간장 2T(2큰술)| 물 2T(2큰술)| 식초 2T(2큰술)| 설탕 2T(2큰술)| 굴소스 2T(2큰술)| 다진마늘 1T(1큰술)| 양파 1/4개| 버섯 10g| 전분가루 1t(1작은술)  고추기름 3T(3큰술)| 후추 1t(작은술),1인분,아무나,15분이내,마늘 양파 고추 돼지고기 
깐풍육,589,볶음,탕수육  탕수육소스| 다진마늘 1티스푼| 고춧가루 1숟갈| 식용유 5큰숟갈| 대파 1/2개| 양파 1/2개,1인분,아무나,30분이내,마늘 대파 양파 
깐풍치킨,42353,볶음,양파 1/2개| 대파 1단| 청양고추 1개| 다진마늘 2t스푼| 먹다 남은 치킨 12개 기준  설탕 1큰술| 간장 1큰술| 굴소스 1큰술| 식초 2큰술| 맛술 2큰술| 꿀(혹은 올리고당) 1큰술,1인분,초급,30분이내,마늘 대파 양파 고추 
깐풍표고버섯,661,튀김,표고버섯 7개| 빨강 파프리카 1/3개| 주황 파프리카 1/3개| 노랑 파프리카 1/3개| 양파 1/2개| 튀김가루| 전분가루| 물 적당량  다진마늘 1큰술| 진간장 2큰술| 설탕 1큰술| 굴소스 1큰술| 식초 1큰술| 고춧가루 1/2큰술| 물 5큰술,1인분,초급,60분이내,표고버섯 마늘 양파 파프리카 
깔루아밀크,36080,기타,에스프레소 60ml| 우유 100ml| 깔루아 2큰술(30ml)| 얼음 6조각| 시나몬가루(없으면생략),1인분,초급,5분이내,우유 
깔루아스파클링,4747,기타,커피술 깔루아 70g| 탄산수 140g| 얼음 125g,1인분,아무나,5분이내,
깜빠뉴불고기베이크,118,굽기,소고기 250g| 양파 1개| 슬라이스 치즈 2장| 깜빠뉴 2조각  간장 4스푼| 맛술 3스푼| 설탕 1스푼| 마늘 1스푼| 대파 2/3개| 참기름 1스푼| 후추 1/3스푼| 깨 1/2스푼,1인분,초급,60분이내,치즈 마늘 대파 양파 소고기 
깜빠뉴에그샌드위치,2437,기타,깜빠뉴 빵 2조각| 청상추 2장| 체다치즈 1장| 슬라이스햄 4장| 삶은 달걀 1개| 베이컨 2장| 크림치즈 2T| 바질페스토 2T| 발사믹글레이즈 소스 약간,1인분,아무나,10분이내,베이컨 치즈 달걀 상추 빵 
깨소금오이샐러드,1757,무침,오이 1개| 깨소금 3숟가락| 고운소금 1/2숟가락| 참기름 2숟가락| 고춧가루 약간| 후추 약간,1인분,아무나,10분이내,오이 
깨죽,3773,끓이기,쌀 180g| 검은깨 80g| 물 300ml| 잣 약간| 소금 약간| 잣 약간,1인분,아무나,30분이내,
깨쿠키,6797,굽기,박력분 85g| 버터 60g| 연유60g| 우유 1/2큰술| 검정깨 1/3컵| 서리태콩가루 20g,1인분,초급,15분이내,우유 
깻잎달걀말이,1314,데치기,달걀 2개| 깻잎 3장  집간장 조금,1인분,아무나,15분이내,깻잎 달걀 
깻잎김말이,227,튀김,라이스페이퍼 15장| 에멘탈치즈 4개| 당면 1움큼| 깻잎 5-6장| 김밥김 4장| 튀김가루 2숟갈| 식용유 적당량  간장 2숟갈| 자일로스 2숟갈,1인분,아무나,30분이내,깻잎 치즈 
깻잎김말이김밥,15671,볶음,현미밥 160g| 단무지 30g| 우엉 20g| 깻잎 10g| 시금치 20g| 당근 50g| 김 1장| 간장 10g| 설탕 5g| 연겨자 10g| 식초 10g  오이 50g| 양상추 100g| 호두 20g| 구운 아몬드 20g| 발사믹 식초 10g| 올리브 오일 10g,1인분,아무나,30분이내,깻잎 당근 오이 상추 무 
깻잎김밥,56742,기타,깻잎 장아찌| 비엔나소세지| 밥 1공기  참기름| 깨소금| 검정깨,1인분,초급,30분이내,깻잎 
깻잎김치,4956,무침,깻잎 15장| 양파 1/4개| 대파 조금  간장 6큰술| 고추가루 3큰술| 올리고당 1큰술| 다진마늘 1큰술| 깨소금 조금| 물 2큰술,1인분,아무나,5분이내,깻잎 마늘 대파 양파 고추 
깻잎까르보나라,1256,볶음,스파게티면 80g| 베이컨 3줄| 양파 1/2개| 마늘 4개| 느타리버섯 8~9줄기| 깻잎 2장| 소금 3꼬집| 파마산치즈 1스푼| 후추 약간| 올리브유 약간  달걀 1개| 파마산치즈 3스푼,1인분,중급,15분이내,깻잎 베이컨 치즈 달걀 마늘 양파 
깻잎나물,10505,볶음,깻잎 150g  간장 1.5T| 들깨가루 1T| 들기름 1T,1인분,초급,30분이내,깻잎 
깻잎두부무침,4127,무침,두부 120g| 깻잎 8장  아기 간장 0.5T| 참기름 0.5T,1인분,초급,30분이내,깻잎 두부 
깻잎떡볶이,514,끓이기,떡볶이떡| 깻잎| 어묵  고추장 3스푼| 고춧가루 2스푼| 다시다 1스푼| 설탕 2스푼| 물550ml,1인분,초급,10분이내,깻잎 고추 떡 
깻잎라면,19602,끓이기,라면 1개| 깻잎 10장| 대파 1/4대| 물 2+2/3종이컵| 청양고추 1개| 고운 고춧가루 1/2숟가락| 다진 마늘 1/2숟가락,1인분,아무나,30분이내,깻잎 마늘 대파 고추 라면 
깻잎리조또,1569,기타,쌀 1컵| 버터 1T| 양파 1/2개| 다진마늘 1t| only유 화이트 참기름 1T| 깻잎 3장| 시금치 쌀 양의 1/5| 스톡 5컵  비트 1/4개| 물 1컵| 오일 2T| 밀가루 1/6컵  가자미 1마리| 관자 2개| 양심참깨박 2T| 후추 1t| 소금 1t| 버터 1T  가자미 부산물| 월계수잎 1장| 통후추 5알| 양파 1/4,1인분,고급,30분이내,깻잎 마늘 양파 
깻잎말이스팸구이,439,부침,스팸 1개 작은거| 깻잎 4장| 달걀 1개,1인분,아무나,10분이내,깻잎 달걀 스팸 
깻잎말이전,15392,굽기,깻잎 15장| 간돼지고기 150g| 소금 1꼬집| 후춧가루 1꼬집| 양파 1/4개| 다진마늘 1Ts| 밀가루 50g| 굴소스 1Ts| 달걀 2개| 식용유 4Ts,1인분,아무나,30분이내,깻잎 달걀 마늘 양파 돼지고기 
깻잎모히또,12064,기타,레몬 1개| 깻잎 10장| 설탕 2T| 소주 1병| 사이다 500ML| 얼음 원하는 만큼,1인분,아무나,5분이내,깻잎 
깻잎모히토,26822,기타,레몬 1 개| 설탕 3큰술| 사이다 1+1/2캔| 소주 1+1/2컵 | 깻잎 10장| 얼음 10개 정도| 소금 조금(레몬닦은용),1인분,아무나,10분이내,깻잎 
깻잎무침,20620,무침,깻잎  다진마늘| 다진대파| 다진청양고추| 고추가루| 간장,1인분,아무나,15분이내,깻잎 마늘 대파 고추 
깻잎바나나주스,1049,기타,바나나 1개| 깻잎 3장| 물 100ml| 꿀 1 큰술,1인분,아무나,5분이내,깻잎 
깻잎볶음,1812,볶음,깻잎 7묶음| 다진마늘 1큰술| 국간장 1큰술| 참기름 1큰술| 깨소금,1인분,아무나,10분이내,깻잎 마늘 
깻잎부침개,809,부침,깻잎 10장| 튀김가루 5T| 물 5T| 달걀 1개  꽃소금 1꼬집| 메밀국수용 간장 1T| 와사비 5g,1인분,초급,15분이내,깻잎 달걀 
깻잎새송이버섯구이,10373,굽기,새송이버섯 작은것 1개| 깻잎 작은것 3장| 달걀 1개  집간장 1/2작은술,1인분,아무나,15분이내,깻잎 달걀 새송이버섯 
깻잎새우삼각밥,22862,부침,손질한 새우 8마리| 깻잎 8장| 밥 1/2공기| 다진당근 3큰술| 다진대파 1큰술| 다진청양고추 1큰술| 밀가루 2큰술| 달걀 2개| 포도씨유 2큰술  저염 맛간장 1큰술,1인분,초급,30분이내,깻잎 당근 달걀 대파 고추 새우 
깻잎샌드위치,13524,기타,식빵 2장| 햄 2장| 달걀 1개| 치즈 1장| 상추 3장| 깻잎 3장| 소금| 올리브유 약간  토마토케첩,1인분,아무나,15분이내,깻잎 치즈 달걀 상추 빵 
깻잎순나물볶음,230199,볶음,깻잎순 3줌| 국간장 1큰| 들기름 2-3큰술| 소금 적당량| 다진 마늘 1큰술| 통깨 적당량,1인분,초급,15분이내,깻잎 마늘 
깻잎순볶음,11098,볶음,깻잎순 1묶음  다진마늘 1T| 국간장 2T| 참기름 1T| 다진파 1T| 깨소금 약간,1인분,초급,10분이내,깻잎 마늘 
깻잎순부침개,2286,부침,깻잎순 2줌| 청양고추 1개| 홍고추 1개| 부침가루 1컵| 물 1컵| 소금 1/4T,1인분,아무나,30분이내,깻잎 고추 
깻잎스팸전,51294,부침,스팸 1캔| 달걀 1개| 깻잎 6장| 밀가루 1/2종이컵| 식용유 약간,1인분,아무나,30분이내,깻잎 달걀 스팸 
깻잎쌈,2390,볶음,양파 1/2개| 대파 1/2개| 청양고추 1개| 참치캔 1개| 된장 2스푼| 고추장 1스푼| 고춧가루 1스푼| 다진마늘 1스푼| 간장 1스푼| 설탕 1/2스푼| 깻잎 적당량,1인분,아무나,30분이내,깻잎 마늘 대파 양파 고추 참치캔 
깻잎쌈밥,198401,기타,깻잎 10장| 밥 1인분| 소금 약간| 참기름 1T  캔 참치 1/2개| 된장 2T| 고추장 1T| 참기름 1T| 참깨 1T,1인분,아무나,30분이내,깻잎 고추 
깻잎장아찌,1907,절임,깻잎 적당량| 양파 1/4| 당근 1/5  간장 1컵| 물 1.5컵| 통마늘 5알| 고추가루 취향껏| 식초 1컵| 파 2/3| 청양고추 2개| 설탕 1컵,1인분,중급,30분이내,깻잎 당근 마늘 양파 고추 
깻잎장아찌쌈밥,10830,기타,깻잎장아찌 5장| 밥 1/2공기  참기름 1t| 깻가루 약간| 장아찌 소스 1T,1인분,초급,10분이내,깻잎 
깻잎전,21399,부침,깻잎 원하는만큼| 갈은소고기 1/2컵| 갈은돼지고기 1/2컵| 양조간장 1T| 다진마늘 2T| 후추 1꼬집| 밀가루 1컵| 달걀 1개,1인분,초급,10분이내,깻잎 달걀 마늘 돼지고기 소고기 
깻잎전샌드위치,598,기타,식빵 2장| 깻잎전 1개| 치즈 1장| 상추 1/2개| 동그랑땡 1개  케첩 적당량,1인분,초급,5분이내,깻잎 치즈 상추 빵 
깻잎조림,8303,조림,깻잎 2묶음| 양파 1/2개  진간장 2밥숟가락| 다진대파 2밥숟가락| 다진마늘 1/2밥숟가락 | 매실액기스 1밥숟가락| 들기름or참기름 1밥숟가락| 고추가루 1밥숟가락,1인분,아무나,15분이내,깻잎 마늘 대파 양파 고추 
깻잎주스,15251,기타,깻잎 2장| 우유 1컵| 들깨가루 5ml,1인분,아무나,5분이내,깻잎 우유 
깻잎찜,15225,찜,깻잎 40g| 양파 1/4개| 풋고추 1개| 대파 1/2대| 고춧가루 2Ts| 간장 4Ts| 다진 마늘 1Ts| 맛술 1Ts| 물 3Ts| 올리고당 1Ts,1인분,아무나,30분이내,깻잎 마늘 대파 양파 고추 
깻잎파스타,410,무침,파스타면 1인분| 묵은지 장 1스푼| 깻잎 적당량| 들기름 2스푼| 들깨가루 1스푼,1인분,초급,15분이내,깻잎 파스타 
깻잎페스토냉파스타,18364,기타,깻잎 10장| 두꺼운 베이컨 1줄| 파스타면 1인분| 페페론치노 6개| 고춧가루 2숟가락| 식용유 2숟가락| 올리브유 2숟가락| 들기름 1숟가락| 소금 약간| 달걀 노른자 1개  깻잎 10장| 마늘 4알| 잣 1줌| 올리브유 1/2종이컵| 파마산치즈가루 1숟가락| 앤초비 또는 멸치액젓 1숟가락,1인분,아무나,30분이내,깻잎 베이컨 치즈 달걀 마늘 파스타 
깻잎페스토토스트,14750,기타,식빵 2개| 베이컨 2줄| 깻잎 1장| 모짜렐라치즈| 버터  깻잎 25장| 마늘 2쪽| 파마산치즈가루 5숟가락| 잣 2숟가락| 올리브유 1/2종이컵| 소금 약간| 후추 약간,1인분,아무나,30분이내,깻잎 베이컨 치즈 마늘 빵 
깻잎페스토파스타,30096,볶음,스파게티면 1인분| 통마늘 4개| 버터 1T  깻잎 50g| 파마산치즈가루 1/4cup| 호두 5개| 올리브유 1/4cup| 다진마늘 1T| 소금 1/4T| 후추 약간,1인분,아무나,30분이내,깻잎 치즈 마늘 
깻잎햄야채전,935,부침,깻잎 15g| 당근 50g| 대파 10g| 양파 50g| 햄 100g| 식용유 적당량  부침가루 40g| 튀김가루 40g| 생수 5T| 후추 적당량  진간장 1T| 들기름 1/2T| 다진 대파 적당량| 청양고추 적당량| 참깨 적당량,1인분,초급,30분이내,깻잎 당근 대파 양파 고추 
꼬꼬면,9970,볶음,꼬꼬면| 달걀| 청양고추,1인분,아무나,10분이내,달걀 고추 
꼬리곰탕,86293,끓이기,소꼬리뼈 3.7kg| 양파 1개| 대파 1대| 마늘 10톨| 물 5리터 이상,1인분,초급,2시간이상,마늘 대파 양파 
꼬마김밥,40019,기타,시금치| 단무지| 어묵| 김| 밥  소금| 다진마늘| 다진파| 참기름| 깨,1인분,아무나,10분이내,마늘 무 
꼬마전복라면,561,끓이기,라면 1개| 물 550ml| 꼬마 전복 2개| 달걀 1개| 대파 약간| 홍고추 약간,1인분,아무나,10분이내,달걀 대파 고추 라면 
꼬마주먹밥,42953,볶음,현미밥 1공기| 건표고버섯 5g| 당근 20g| 달걀 1개  소금| 후추| 식용유| 케첩,1인분,초급,30분이내,표고버섯 당근 달걀 
꼬마치즈김밥,457,기타,밥 1주걱| 식초 0.5T| 소금 0.3T| 김 1봉지| 치즈 1장,1인분,아무나,10분이내,치즈 
꼬막,14658,데치기,꼬막,1인분,초급,15분이내,
꼬막간장국수,305,비빔,삶은꼬막 60g| 쌀면 1인분  홍게간장 2T| 참기름 1T| 매실청 1T| 깨 0.5T,1인분,초급,60분이내,
꼬막강된장쌈밥,1938,기타,꼬막 캔(140g) 1개| 된장 1.5~2T| 다진마늘 1/2T| 참기름 1T| 느타리버섯 1줌| 대파 1대| 애호박 1/4개| 양파 1/4개| 양배추(쌈용) 1줌,1인분,초급,60분이내,양배추 마늘 대파 배추 양파 배 애호박 
꼬막곤드레밥,194,무침,꼬막 150g| 곤드레 20g| 불린쌀 100g| 부추 10g  간장 1.5T| 맛술 0.5T| 설탕 0.5T| 고추가루 0.5T| 다진마늘 1ts| 참기름 1T| 깨소금 1ts,1인분,초급,60분이내,부추 마늘 고추 
꼬막김치비빔밥,678,비빔,꼬막 1인분| 홍고추 1개| 쪽파 2줄| 진간장 3T| 참기름 2T| 설탕 1T| 고춧가루 1/3T| 다진마늘 1/2T| 깨 1/3T  김치 적당량| 다진마늘 1T| 설탕 1/2T| 참기름 1/3T,1인분,아무나,60분이내,마늘 김치 고추 
꼬막덮밥,5576,볶음,냉동꼬막 1컵| 양파 1/4개| 대파 1/3대| 풋고추 1개| 마늘 3개| 홍고추 1개| 밥 1공기| 식용유 약간  간장 1작은술| 굴소스 1작은술| 물 2작은술| 설탕 1/4작은술| 전분 1/4작은술| 참기름 약간,1인분,초급,30분이내,마늘 대파 양파 고추 
꼬막무침,23193,무침,꼬막 1팩| 실파| 달래| 소금  간장 1큰술| 고추가루 1ts| 깨| 참기름 1ts,1인분,아무나,30분이내,고추 
꼬막밥전카나페,629,삶기,꼬막 1k| 굵은소금 1주먹| 달걀 1| 대파적당량| 오이| 새싹적당량  시판초장| 소금,1인분,아무나,30분이내,오이 달걀 대파 
꼬막볶음밥,433,볶음,꼬막살 200g| 밥 1공기| 대파 1/2개| 양파 1/2개| 노란파프리카 1/2개| 빨간파프리카 1/2개| 식용유 3T| 굴소스 1T| 참기름 1T| 볶은참깨 1T,1인분,아무나,30분이내,대파 양파 파프리카 
꼬막부추전,4461,부침,자숙꼬막 100g| 부추 1/2줌| 부침가루 6큰술| 물 1/2컵(50cc)| 식용유 적당량  맛소금 1꼬집| 후추톡톡 4번,1인분,초급,10분이내,부추 
꼬막비빔국수,6659,비빔,소면 1인분| 꼬막 20~30알| 채소류 썰은것 (취향껏 준비) 1접시| 참기름 0.5스푼| 깨 조금| 김가루 1줌  고추장 1스푼| 고춧가루 1스푼| 간장 1스푼| 멸치액젓 1스푼| 식초 1.5스푼| 설탕 1.5스푼| 참기름 1.5스푼| 다진마늘 0.5스푼,1인분,아무나,30분이내,마늘 고추 
꼬막비빔덮밥,158,무침,꼬막| 간장3| 부추3| 설탕1| 고추가루 2| 마늘 1| 참기름1,1인분,아무나,2시간이내,부추 마늘 고추 
꼬막비빔면,1611,무침,꼬막 100g| 양배추 100g| 적채 30g| 다진 마늘 2Ts| 간장 1.5Ts| 고추장 2Ts| 설탕 1Ts| 고춧가루 1Ts| 맛술 1Ts| 식초 1Ts| 물엿 2Ts| 후춧가루 1꼬집| 참기름 1Ts| 소금 1꼬집| 소면 130g,1인분,아무나,15분이내,양배추 마늘 배추 배 고추 
꼬막비빔모밀면,854,비빔,모밀면 1봉| 오이 1/2개| 사과 1/2개| 파프리카 1/2개| 양파 1/2개| 양배추 4/1개| 양상추 4잎| 꼬막 1그릇| 깨 조금  고추장 2큰술| 고춧가루 1큰술| 진간장 1큰술| 매실액 2큰술| 설탕 2큰술| 식초 3큰술| 참기름 1큰술| 다진마늘 1큰술,1인분,초급,30분이내,사과 양배추 오이 마늘 상추 배추 양파 파프리카 배 고추 
꼬막비빔밥,157100,비빔,꼬막 150g| 밥 1공기| 깻잎 3장| 상추 3장| 당근 1/6개(300g)  고추장 1T| 설탕 1/2T| 다진 마늘 1/4T| 부순 참깨 1/2T| 식초 1T| 통깨 1/2T| 참기름 1/2T| 다진 대파 1/2T,1인분,아무나,30분이내,깻잎 당근 마늘 대파 상추 고추 
꼬막새싹비빔밥,1936,비빔,꼬막 통조림 1통| 밥 1공기| 새싹채소 1팩| 초고추장 적당량| 참기름 1T  참깨 약간,1인분,아무나,10분이내,고추 
꼬막소보루밥,2835,무침,꼬막 300g| 당근 40g| 오이 1/2개(100g)| 새송이버섯 1개(90g)| 달걀 1개  설탕| 조금| 식초  허브솔트 약간,1인분,초급,15분이내,당근 오이 달걀 새송이버섯 
꼬막쌈밥,171,무침,꼬막 45g| 쪽파 30g| 청양고추 1개| 홍고추 1개| 진간장 25g| 멸치액젓 10g| 고춧가루 2T| 다진마늘 2T| 설탕 1/2T| 참기름 5g| 깨소금 1T| 양배추 1/4개| 유자청 50g| 올리브유 10g| 레몬즙 5g| 소금 2꼬집| 밥 1공기| 식초 1T,1인분,중급,30분이내,양배추 마늘 배추 배 고추 
꼬막알밥,502,비빔,밥1공기| 청양고추1개| 양파| 양상치| 오이| 김가루| 날치알  초고추장| 통깨| 참기름| 버터,1인분,아무나,10분이내,오이 양파 고추 
꼬막야채비빔밥,4055,비빔,꼬막 300g| 당근 1/6개| 상추 4장| 양파 1/5개| 풋고추 2개| 부추or깻잎 적당량| 밥 1공기  초고추장 1큰술| 참기름 1/2큰술,1인분,중급,30분이내,깻잎 당근 부추 상추 양파 고추 
꼬막오므라이스,569,볶음,꼬막 300g| 마늘 2개| 당근 1/5개| 피망 1/3개| 대파 6cm 길이 1개| 밥 200g| 달걀 3개| 생크림 1T| 소금 2T| 소주 2T| 식용유 3T| 브로콜리 10g| 방울토마토 0.5개  간장 5T| 고추가루 3T| 매실청 1T| 다진 마늘 1T| 다진 파 1T| 참기름 1T| 후추 1t,1인분,중급,2시간이내,당근 달걀 마늘 대파 고추 
꼬막우거지된장국,8070,끓이기,우거지| 꼬막| 청양고추| 다진마늘  다시마| 건새우| 국물용멸치| 된장,1인분,초급,30분이내,마늘 고추 새우 
꼬막전,10317,부침,자숙 피꼬막(자숙 피조개) 8개| 달걀 1개| 부침가루 1T| 다진 당근 1T| 다진 파 1T| 다진 청양고추 1/2T| 식용유 조금| 양념장: 진간장 1T| 식초 1/2~1T| 고춧가루 1/3t| 다진 파 1/2T,1인분,아무나,30분이내,당근 달걀 고추 
꼬막전복비빔밥,546,비빔,삶은꼬막 100g| 전복 50g| 달걀지단 28g| 깻잎 8g| 양파 28g| 당근 28g| 콜라비 28g| 사과 26g  불린쌀 1컵| 불린 보리 2큰술| 다시마우린물 1컵| 올리브유 약간  청양고추 9g| 홍피망 15g| 진간장 1큰술| 다진마늘 1작은술| 참치액 1/2작은술| 매실청 1/2큰술| 참기름 적당히| 깨 적당히| 초고추장 적당히| 다진쪽파 약간,1인분,초급,60분이내,깻잎 사과 당근 달걀 마늘 양파 고추 
꼬막전복장비빔밥,1557,비빔,전복장 2개| 삶은꼬막 6개| 양파절임 조금| 전복장 표고 2개| 전복장 파 조금| 밥 1공기| 버터| 김가루| 달걀 1개  양파절임간장 1비율| 전복장간장 1비율| 청양고추 1개| 통깨 약간,1인분,고급,15분이내,달걀 양파 고추 
